# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	26490	27173	-	WP_070964323.1	WP_070964323.1		iron-sulfur cluster repair protein YtfE	ytfE		BKP64_RS00120	684	227	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	27364	27579	+							BKP64_RS00125	216		old_locus_tag=BKP64_00125
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	27364	27579	+	WP_070964326.1	WP_070964326.1		hypothetical protein			BKP64_RS00125	216	71	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	27603	27992	+							BKP64_RS00130	390		old_locus_tag=BKP64_00130
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	27603	27992	+	WP_227515466.1	WP_227515466.1		YbaN family protein			BKP64_RS00130	390	129	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	28026	28463	+							BKP64_RS00135	438		old_locus_tag=BKP64_00135
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	28026	28463	+	WP_070964333.1	WP_070964333.1		Rrf2 family transcriptional regulator			BKP64_RS00135	438	145	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	28451	29542	-							BKP64_RS00140	1092		old_locus_tag=BKP64_00140
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	28451	29542	-	WP_070964335.1	WP_070964335.1		acyl-CoA desaturase			BKP64_RS00140	1092	363	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	29597	30700	-							BKP64_RS00145	1104		old_locus_tag=BKP64_00145
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	29597	30700	-	WP_070964338.1	WP_070964338.1		ferredoxin reductase			BKP64_RS00145	1104	367	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	30867	31523	+							BKP64_RS00150	657		old_locus_tag=BKP64_00150
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	30867	31523	+	WP_227515467.1	WP_227515467.1		TetR family transcriptional regulator			BKP64_RS00150	657	218	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	31520	32959	-							BKP64_RS00155	1440		old_locus_tag=BKP64_00155
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	31520	32959	-	WP_070964342.1	WP_070964342.1		wax ester/triacylglycerol synthase family O-acyltransferase			BKP64_RS00155	1440	479	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	33204	33587	+							BKP64_RS00160	384		old_locus_tag=BKP64_00160
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	33204	33587	+	WP_070964344.1	WP_070964344.1		CidA/LrgA family protein			BKP64_RS00160	384	127	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	33580	34311	+							BKP64_RS00165	732		old_locus_tag=BKP64_00165
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	33580	34311	+	WP_070964346.1	WP_070964346.1		LrgB family protein			BKP64_RS00165	732	243	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	34346	35704	+							BKP64_RS00170	1359		old_locus_tag=BKP64_00170
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	34346	35704	+	WP_070964349.1	WP_070964349.1		TrpB-like pyridoxal phosphate-dependent enzyme			BKP64_RS00170	1359	452	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	35727	37292	-							BKP64_RS00175	1566		old_locus_tag=BKP64_00175
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	35727	37292	-	WP_070964351.1	WP_070964351.1		SpoVR family protein			BKP64_RS00175	1566	521	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	37289	38578	-							BKP64_RS00180	1290		old_locus_tag=BKP64_00180
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	37289	38578	-	WP_227515618.1	WP_227515618.1		YeaH/YhbH family protein			BKP64_RS00180	1290	429	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	38618	40540	-							BKP64_RS00185	1923		old_locus_tag=BKP64_00185
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	38618	40540	-	WP_070964356.1	WP_070964356.1		PrkA family serine protein kinase			BKP64_RS00185	1923	640	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	40950	41603	-					tmpT		BKP64_RS00190	654		old_locus_tag=BKP64_00190
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	40950	41603	-	WP_070964358.1	WP_070964358.1		thiopurine S-methyltransferase	tmpT		BKP64_RS00190	654	217	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	41679	42614	+							BKP64_RS00195	936		old_locus_tag=BKP64_00195
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	41679	42614	+	WP_070964361.1	WP_070964361.1		D-2-hydroxyacid dehydrogenase			BKP64_RS00195	936	311	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	42681	43937	-							BKP64_RS00200	1257		old_locus_tag=BKP64_00200
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	42681	43937	-	WP_070964364.1	WP_070964364.1		outer membrane protein transport protein			BKP64_RS00200	1257	418	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	44137	45498	+							BKP64_RS00205	1362		old_locus_tag=BKP64_00205
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	44137	45498	+	WP_070964367.1	WP_070964367.1		YihY/virulence factor BrkB family protein			BKP64_RS00205	1362	453	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	45507	46529	-							BKP64_RS00210	1023		old_locus_tag=BKP64_00210
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	45507	46529	-	WP_070964370.1	WP_070964370.1		HDOD domain-containing protein			BKP64_RS00210	1023	340	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	46640	47869	-							BKP64_RS00215	1230		old_locus_tag=BKP64_00215
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	46640	47869	-	WP_070964372.1	WP_070964372.1		hypothetical protein			BKP64_RS00215	1230	409	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	47969	48709	-							BKP64_RS00220	741		old_locus_tag=BKP64_00220
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	47969	48709	-	WP_070964375.1	WP_070964375.1		16S rRNA (uracil(1498)-N(3))-methyltransferase			BKP64_RS00220	741	246	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	48725	50077	-							BKP64_RS00225	1353		old_locus_tag=BKP64_00225
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	48725	50077	-	WP_070964378.1	WP_070964378.1		adenosylmethionine--8-amino-7-oxononanoate transaminase			BKP64_RS00225	1353	450	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	50438	51157	+							BKP64_RS00230	720		old_locus_tag=BKP64_00230
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	50438	51157	+	WP_070964381.1	WP_070964381.1		hypothetical protein			BKP64_RS00230	720	239	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	51163	52113	+							BKP64_RS00235	951		old_locus_tag=BKP64_00235
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	51163	52113	+	WP_070964383.1	WP_070964383.1		hypothetical protein			BKP64_RS00235	951	316	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	52106	53188	+							BKP64_RS00240	1083		old_locus_tag=BKP64_00240
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	52106	53188	+	WP_070964386.1	WP_070964386.1		discoidin domain-containing protein			BKP64_RS00240	1083	360	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	53190	53801	-							BKP64_RS00245	612		old_locus_tag=BKP64_00245
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	53190	53801	-	WP_070964389.1	WP_070964389.1		hypothetical protein			BKP64_RS00245	612	203	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	53946	54683	-							BKP64_RS00250	738		old_locus_tag=BKP64_00250
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	53946	54683	-	WP_227515619.1	WP_227515619.1		amino acid ABC transporter ATP-binding protein			BKP64_RS00250	738	245	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	54706	55377	-							BKP64_RS00255	672		old_locus_tag=BKP64_00255
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	54706	55377	-	WP_070973477.1	WP_070973477.1		amino acid ABC transporter permease			BKP64_RS00255	672	223	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	55469	56227	-							BKP64_RS00260	759		old_locus_tag=BKP64_00260
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	55469	56227	-	WP_070964394.1	WP_070964394.1		transporter substrate-binding domain-containing protein			BKP64_RS00260	759	252	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	56444	57313	-					metF		BKP64_RS19210	870		old_locus_tag=BKP64_00265
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	56444	57313	-	WP_070964397.1	WP_070964397.1		methylenetetrahydrofolate reductase [NAD(P)H]	metF		BKP64_RS19210	870	289	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	57326	58720	-					ahcY		BKP64_RS19215	1395		old_locus_tag=BKP64_00270
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	57326	58720	-	WP_070964401.1	WP_070964401.1		adenosylhomocysteinase	ahcY		BKP64_RS19215	1395	464	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	58780	59970	-					metK		BKP64_RS00275	1191		old_locus_tag=BKP64_00275
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	58780	59970	-	WP_070964404.1	WP_070964404.1		methionine adenosyltransferase	metK		BKP64_RS00275	1191	396	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	60124	61125	-							BKP64_RS00280	1002		old_locus_tag=BKP64_00280
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	60124	61125	-	WP_070964407.1	WP_070964407.1		metalloregulator ArsR/SmtB family transcription factor			BKP64_RS00280	1002	333	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	61349	63349	+					tkt		BKP64_RS00285	2001		old_locus_tag=BKP64_00285
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	61349	63349	+	WP_070964410.1	WP_070964410.1		transketolase	tkt		BKP64_RS00285	2001	666	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	63349	64374	+							BKP64_RS00290	1026		old_locus_tag=BKP64_00290
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	63349	64374	+	WP_070964413.1	WP_070964413.1		erythrose-4-phosphate dehydrogenase			BKP64_RS00290	1026	341	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	64410	65570	+							BKP64_RS00295	1161		old_locus_tag=BKP64_00295
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	64410	65570	+	WP_070964415.1	WP_070964415.1		phosphoglycerate kinase			BKP64_RS00295	1161	386	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	65624	66688	+					fba		BKP64_RS00300	1065		old_locus_tag=BKP64_00300
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	65624	66688	+	WP_070964418.1	WP_070964418.1		fructose-bisphosphate aldolase class II	fba		BKP64_RS00300	1065	354	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	66844	67824	+							BKP64_RS00305	981		old_locus_tag=BKP64_00305
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	66844	67824	+	WP_070964421.1	WP_070964421.1		DnaJ domain-containing protein			BKP64_RS00305	981	326	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	67838	68182	+							BKP64_RS00310	345		old_locus_tag=BKP64_00310
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	67838	68182	+	WP_070964424.1	WP_070964424.1		chaperone modulator CbpM			BKP64_RS00310	345	114	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	68195	68368	-							BKP64_RS19260	174		
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	68195	68368	-	WP_157755392.1	WP_157755392.1		DUF6435 family protein			BKP64_RS19260	174	57	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	68574	70010	+							BKP64_RS00315	1437		old_locus_tag=BKP64_00315
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	68574	70010	+	WP_070964427.1	WP_070964427.1		DUF5666 domain-containing protein			BKP64_RS00315	1437	478	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	70095	70934	+							BKP64_RS00320	840		old_locus_tag=BKP64_00320
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	70095	70934	+	WP_070964431.1	WP_070964431.1		DUF6502 family protein			BKP64_RS00320	840	279	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	70937	72418	+							BKP64_RS00325	1482		old_locus_tag=BKP64_00325
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	70937	72418	+	WP_070964434.1	WP_070964434.1		DUF5666 domain-containing protein			BKP64_RS00325	1482	493	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	72577	74517	+							BKP64_RS00330	1941		old_locus_tag=BKP64_00330
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	72577	74517	+	WP_070964437.1	WP_070964437.1		methyl-accepting chemotaxis protein			BKP64_RS00330	1941	646	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	74567	75532	-							BKP64_RS00335	966		old_locus_tag=BKP64_00335
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	74567	75532	-	WP_070964439.1	WP_070964439.1		nitronate monooxygenase family protein			BKP64_RS00335	966	321	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	75663	76394	+							BKP64_RS00340	732		old_locus_tag=BKP64_00340
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	75663	76394	+	WP_070964443.1	WP_070964443.1		DsbA family protein			BKP64_RS00340	732	243	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	76537	77556	+							BKP64_RS00345	1020		old_locus_tag=BKP64_00345
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	76537	77556	+	WP_070964446.1	WP_070964446.1		rhodanese-related sulfurtransferase			BKP64_RS00345	1020	339	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	77557	78504	-							BKP64_RS00350	948		old_locus_tag=BKP64_00350
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	77557	78504	-	WP_070964450.1	WP_070964450.1		DUF523 and DUF1722 domain-containing protein			BKP64_RS00350	948	315	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	78583	80820	-							BKP64_RS00355	2238		old_locus_tag=BKP64_00355
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	78583	80820	-	WP_070964454.1	WP_070964454.1		glycosyltransferase			BKP64_RS00355	2238	745	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	80817	81875	-							BKP64_RS00360	1059		old_locus_tag=BKP64_00360
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	80817	81875	-	WP_070964457.1	WP_070964457.1		flippase-like domain-containing protein			BKP64_RS00360	1059	352	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	81941	82975	-							BKP64_RS00365	1035		old_locus_tag=BKP64_00365
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	81941	82975	-	WP_070964459.1	WP_070964459.1		DUF6160 family protein			BKP64_RS00365	1035	344	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	83134	83793	-							BKP64_RS00370	660		old_locus_tag=BKP64_00370
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	83134	83793	-	WP_070973479.1	WP_070973479.1		GntR family transcriptional regulator			BKP64_RS00370	660	219	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	84033	85172	+							BKP64_RS00375	1140		old_locus_tag=BKP64_00375
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	84033	85172	+	WP_070964466.1	WP_070964466.1		alkane 1-monooxygenase			BKP64_RS00375	1140	379	
gene	protein_coding	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	85407	85955	+					gloA		BKP64_RS00380	549		old_locus_tag=BKP64_00380
CDS	with_protein	GCF_001854125.1	Primary Assembly	chromosome		NZ_CP017715.1	85407	85955	+	WP_070964470.1	WP_070964470.1		lactoylglutathione lyase	gloA		BKP64_RS00380	549	182	
