# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	15899	17224	-					rsmB		FXO11_RS00065	1326		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	15899	17224	-	WP_148860981.1	WP_148860981.1		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	rsmB		FXO11_RS00065	1326	441	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	17225	18160	-					fmt		FXO11_RS00070	936		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	17225	18160	-	WP_148860982.1	WP_148860982.1		methionyl-tRNA formyltransferase	fmt		FXO11_RS00070	936	311	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	18380	18883	-					def		FXO11_RS00075	504		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	18380	18883	-	WP_148860983.1	WP_148860983.1		peptide deformylase	def		FXO11_RS00075	504	167	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	19296	20321	+							FXO11_RS00080	1026		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	19296	20321	+	WP_148860984.1	WP_148860984.1		LysM peptidoglycan-binding domain-containing protein			FXO11_RS00080	1026	341	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	20457	21641	+					dprA		FXO11_RS00085	1185		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	20457	21641	+	WP_148860985.1	WP_148860985.1		DNA-processing protein DprA	dprA		FXO11_RS00085	1185	394	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	21716	22303	+							FXO11_RS00090	588		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	21716	22303	+	WP_148860986.1	WP_148860986.1		L-threonylcarbamoyladenylate synthase			FXO11_RS00090	588	195	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	22355	23284	+					hemF		FXO11_RS00095	930		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	22355	23284	+	WP_148860987.1	WP_148860987.1		oxygen-dependent coproporphyrinogen oxidase	hemF		FXO11_RS00095	930	309	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	23364	24188	+					aroE		FXO11_RS00100	825		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	23364	24188	+	WP_148860988.1	WP_148860988.1		shikimate dehydrogenase	aroE		FXO11_RS00100	825	274	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	24386	25159	+							FXO11_RS00105	774		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	24386	25159	+	WP_148860989.1	WP_148860989.1		MotA/TolQ/ExbB proton channel family protein			FXO11_RS00105	774	257	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	25165	25995	+							FXO11_RS00110	831		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	25165	25995	+	WP_148860990.1	WP_148860990.1		OmpA family protein			FXO11_RS00110	831	276	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	26197	26508	+							FXO11_RS00115	312		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	26197	26508	+	WP_148860991.1	WP_148860991.1		PA4642 family protein			FXO11_RS00115	312	103	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	26561	27112	-							FXO11_RS00120	552		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	26561	27112	-	WP_148860992.1	WP_148860992.1		gamma carbonic anhydrase family protein			FXO11_RS00120	552	183	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	27301	29346	+					prlC		FXO11_RS00125	2046		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	27301	29346	+	WP_148860993.1	WP_148860993.1		oligopeptidase A	prlC		FXO11_RS00125	2046	681	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	29411	29662	+							FXO11_RS00130	252		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	29411	29662	+	WP_148860994.1	WP_148860994.1		YheV family putative metal-binding protein			FXO11_RS00130	252	83	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	29945	31270	-							FXO11_RS00140	1326		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	29945	31270	-	WP_148860996.1	WP_148860996.1		Na+/H+ antiporter family protein			FXO11_RS00140	1326	441	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	31400	31615	-							FXO11_RS00145	216		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	31400	31615	-	WP_148860997.1	WP_148860997.1		DUF1653 domain-containing protein			FXO11_RS00145	216	71	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	31834	33672	+							FXO11_RS00150	1839		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	31834	33672	+	WP_227545988.1	WP_227545988.1		diguanylate cyclase			FXO11_RS00150	1839	612	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	33706	34092	-							FXO11_RS00155	387		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	33706	34092	-	WP_148860998.1	WP_148860998.1		DoxX family protein			FXO11_RS00155	387	128	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	34164	34634	-							FXO11_RS00160	471		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	34164	34634	-	WP_148860999.1	WP_148860999.1		group 1 truncated hemoglobin			FXO11_RS00160	471	156	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	34650	35501	-							FXO11_RS00165	852		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	34650	35501	-	WP_148861000.1	WP_148861000.1		DUF3034 family protein			FXO11_RS00165	852	283	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	35498	37897	-							FXO11_RS00170	2400		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	35498	37897	-	WP_148861001.1	WP_148861001.1		EAL domain-containing protein			FXO11_RS00170	2400	799	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	37894	38550	-							FXO11_RS00175	657		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	37894	38550	-	WP_148861002.1	WP_148861002.1		methylamine utilization protein			FXO11_RS00175	657	218	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	38742	39407	-							FXO11_RS00180	666		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	38742	39407	-	WP_148861003.1	WP_148861003.1		hypothetical protein			FXO11_RS00180	666	221	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	39659	41005	-							FXO11_RS00185	1347		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	39659	41005	-	WP_227545989.1	WP_227545989.1		MATE family efflux transporter			FXO11_RS00185	1347	448	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	41514	42623	+					coxB		FXO11_RS00190	1110		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	41514	42623	+	WP_227546176.1	WP_227546176.1		cytochrome c oxidase subunit II	coxB		FXO11_RS00190	1110	369	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	42711	44300	+					ctaD		FXO11_RS00195	1590		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	42711	44300	+	WP_148861005.1	WP_148861005.1		cytochrome c oxidase subunit I	ctaD		FXO11_RS00195	1590	529	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	44332	44937	+							FXO11_RS00200	606		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	44332	44937	+	WP_148861006.1	WP_148861006.1		cytochrome c oxidase assembly protein			FXO11_RS00200	606	201	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	44955	45842	+							FXO11_RS00205	888		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	44955	45842	+	WP_148861007.1	WP_148861007.1		cytochrome c oxidase subunit 3			FXO11_RS00205	888	295	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	45849	46052	-							FXO11_RS00210	204		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	45849	46052	-	WP_148861008.1	WP_148861008.1		twin transmembrane helix small protein			FXO11_RS00210	204	67	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	46103	46840	+							FXO11_RS00215	738		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	46103	46840	+	WP_148861009.1	WP_148861009.1		SURF1 family protein			FXO11_RS00215	738	245	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	46833	47450	+							FXO11_RS00220	618		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	46833	47450	+	WP_227545990.1	WP_227545990.1		hypothetical protein			FXO11_RS00220	618	205	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	47530	48573	+							FXO11_RS00225	1044		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	47530	48573	+	WP_148864733.1	WP_148864733.1		COX15/CtaA family protein			FXO11_RS00225	1044	347	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	48570	49472	+					cyoE		FXO11_RS00230	903		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	48570	49472	+	WP_148861011.1	WP_148861011.1		heme o synthase	cyoE		FXO11_RS00230	903	300	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	49505	50191	+							FXO11_RS00235	687		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	49505	50191	+	WP_148861012.1	WP_148861012.1		SCO family protein			FXO11_RS00235	687	228	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	50273	51493	+							FXO11_RS00240	1221		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	50273	51493	+	WP_148861013.1	WP_148861013.1		YbfB/YjiJ family MFS transporter			FXO11_RS00240	1221	406	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	51484	52125	-							FXO11_RS00245	642		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	51484	52125	-	WP_148861014.1	WP_148861014.1		TetR family transcriptional regulator			FXO11_RS00245	642	213	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	52287	53513	+							FXO11_RS00250	1227		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	52287	53513	+	WP_148861015.1	WP_148861015.1		efflux RND transporter periplasmic adaptor subunit			FXO11_RS00250	1227	408	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	53518	56685	+							FXO11_RS00255	3168		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	53518	56685	+	WP_148861016.1	WP_148861016.1		efflux RND transporter permease subunit			FXO11_RS00255	3168	1055	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	56682	58118	+							FXO11_RS00260	1437		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	56682	58118	+	WP_148861017.1	WP_148861017.1		efflux transporter outer membrane subunit			FXO11_RS00260	1437	478	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	58236	60719	+					hrpB		FXO11_RS00265	2484		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	58236	60719	+	WP_148861018.1	WP_148861018.1		ATP-dependent helicase HrpB	hrpB		FXO11_RS00265	2484	827	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	60911	62110	+							FXO11_RS00270	1200		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	60911	62110	+	WP_148861019.1	WP_148861019.1		Fic family protein			FXO11_RS00270	1200	399	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	62263	63888	-							FXO11_RS00275	1626		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	62263	63888	-	WP_148861020.1	WP_148861020.1		acyl-CoA synthetase			FXO11_RS00275	1626	541	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	64196	64816	+							FXO11_RS00280	621		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	64196	64816	+	WP_148861021.1	WP_148861021.1		LysE family transporter			FXO11_RS00280	621	206	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	65074	65703	+							FXO11_RS00285	630		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	65074	65703	+	WP_148861022.1	WP_148861022.1		PEP-CTERM sorting domain-containing protein			FXO11_RS00285	630	209	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	65997	66179	+							FXO11_RS00290	183		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	65997	66179	+	WP_148861023.1	WP_148861023.1		hypothetical protein			FXO11_RS00290	183	60	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	66486	67613	+							FXO11_RS00295	1128		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	66486	67613	+	WP_148864734.1	WP_148864734.1		glutathione S-transferase			FXO11_RS00295	1128	375	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	67619	68260	-							FXO11_RS00300	642		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	67619	68260	-	WP_148861024.1	WP_148861024.1		TetR/AcrR family transcriptional regulator			FXO11_RS00300	642	213	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	68342	69451	+							FXO11_RS00305	1110		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	68342	69451	+	WP_148861025.1	WP_148861025.1		DUF2855 family protein			FXO11_RS00305	1110	369	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	69471	70079	-							FXO11_RS00310	609		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	69471	70079	-	WP_148861026.1	WP_148861026.1		hypoxanthine phosphoribosyltransferase			FXO11_RS00310	609	202	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	70167	70739	+							FXO11_RS00315	573		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	70167	70739	+	WP_148861027.1	WP_148861027.1		hypoxanthine phosphoribosyltransferase			FXO11_RS00315	573	190	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	70831	71037	-							FXO11_RS00320	207		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	70831	71037	-	WP_148861028.1	WP_148861028.1		cold-shock protein			FXO11_RS00320	207	68	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	71413	71601	-							FXO11_RS00325	189		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	71413	71601	-	WP_148861029.1	WP_148861029.1		hypothetical protein			FXO11_RS00325	189	62	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	71913	73022	+							FXO11_RS00330	1110		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	71913	73022	+	WP_148861030.1	WP_148861030.1		sensor domain-containing diguanylate cyclase			FXO11_RS00330	1110	369	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	73036	73599	-							FXO11_RS00335	564		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	73036	73599	-	WP_148861031.1	WP_148861031.1		DUF2459 domain-containing protein			FXO11_RS00335	564	187	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	73725	73901	+							FXO11_RS20215	177		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	73725	73901	+	WP_168203100.1	WP_168203100.1		hypothetical protein			FXO11_RS20215	177	58	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	74190	75233	+							FXO11_RS00340	1044		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	74190	75233	+	WP_227545991.1	WP_227545991.1		M23 family metallopeptidase			FXO11_RS00340	1044	347	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	75292	78120	-							FXO11_RS00345	2829		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	75292	78120	-	WP_148861032.1	WP_148861032.1		AMP-binding protein			FXO11_RS00345	2829	942	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	78493	79422	+					cyoA		FXO11_RS00350	930		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	78493	79422	+	WP_148861033.1	WP_148861033.1		ubiquinol oxidase subunit II	cyoA		FXO11_RS00350	930	309	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	79427	81424	+					cyoB		FXO11_RS00355	1998		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	79427	81424	+	WP_148861034.1	WP_148861034.1		cytochrome o ubiquinol oxidase subunit I	cyoB		FXO11_RS00355	1998	665	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	81424	82047	+							FXO11_RS00360	624		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	81424	82047	+	WP_148861035.1	WP_148861035.1		cytochrome o ubiquinol oxidase subunit III			FXO11_RS00360	624	207	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	82048	82374	+					cyoD		FXO11_RS00365	327		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	82048	82374	+	WP_148861036.1	WP_148861036.1		cytochrome o ubiquinol oxidase subunit IV	cyoD		FXO11_RS00365	327	108	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	82398	83267	+					cyoE		FXO11_RS00370	870		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	82398	83267	+	WP_148864736.1	WP_148864736.1		heme o synthase	cyoE		FXO11_RS00370	870	289	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	83496	84107	+							FXO11_RS00375	612		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	83496	84107	+	WP_148861037.1	WP_148861037.1		YIP1 family protein			FXO11_RS00375	612	203	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	84515	87859	+							FXO11_RS00380	3345		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	84515	87859	+	WP_148861038.1	WP_148861038.1		EAL domain-containing protein			FXO11_RS00380	3345	1114	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	87916	89484	+							FXO11_RS00385	1569		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	87916	89484	+	WP_148861039.1	WP_148861039.1		bifunctional GNAT family N-acetyltransferase/carbon-nitrogen hydrolase family protein			FXO11_RS00385	1569	522	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	89679	90839	+							FXO11_RS00390	1161		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	89679	90839	+	WP_148861040.1	WP_148861040.1		methyl-accepting chemotaxis protein			FXO11_RS00390	1161	386	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	90916	91284	+							FXO11_RS00395	369		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	90916	91284	+	WP_148861041.1	WP_148861041.1		response regulator			FXO11_RS00395	369	122	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	91281	91604	+							FXO11_RS00400	324		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	91281	91604	+	WP_148861042.1	WP_148861042.1		STAS domain-containing protein			FXO11_RS00400	324	107	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	91601	93814	+							FXO11_RS00405	2214		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	91601	93814	+	WP_148861043.1	WP_148861043.1		chemotaxis protein CheA			FXO11_RS00405	2214	737	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	93885	95516	+							FXO11_RS00410	1632		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	93885	95516	+	WP_148861044.1	WP_148861044.1		methyl-accepting chemotaxis protein			FXO11_RS00410	1632	543	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	95526	96080	+							FXO11_RS00415	555		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	95526	96080	+	WP_148861045.1	WP_148861045.1		chemotaxis protein CheW			FXO11_RS00415	555	184	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	96070	96906	+							FXO11_RS00420	837		
