# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	16280	20005	-					recB	31819550	MARHY_RS00055	3726		old_locus_tag=MARHY0011
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	16280	20005	-	WP_041654399.1	WP_041654399.1		exodeoxyribonuclease V subunit beta	recB	31819550	MARHY_RS00055	3726	1241	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	20002	23586	-					recC	31819551	MARHY_RS00060	3585		old_locus_tag=MARHY0012
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	20002	23586	-	WP_014420006.1	WP_014420006.1		exodeoxyribonuclease V subunit gamma	recC	31819551	MARHY_RS00060	3585	1194	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	23722	23937	-						31819552	MARHY_RS00065	216		old_locus_tag=MARHY0013
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	23722	23937	-	WP_158011860.1	WP_158011860.1		hypothetical protein		31819552	MARHY_RS00065	216	71	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	23958	24431	-						31819553	MARHY_RS00070	474		old_locus_tag=MARHY0014
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	23958	24431	-	WP_014420008.1	WP_014420008.1		hypothetical protein		31819553	MARHY_RS00070	474	157	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	24588	26288	+						31819554	MARHY_RS00075	1701		old_locus_tag=MARHY0015
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	24588	26288	+	WP_041654401.1	WP_041654401.1		VRR-NUC domain-containing protein		31819554	MARHY_RS00075	1701	566	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	26285	28537	+						31819555	MARHY_RS00080	2253		old_locus_tag=MARHY0016
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	26285	28537	+	WP_014420010.1	WP_014420010.1		ATP-dependent DNA helicase		31819555	MARHY_RS00080	2253	750	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	28667	29059	+						31819556	MARHY_RS00085	393		old_locus_tag=MARHY0017
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	28667	29059	+	WP_011783597.1	WP_011783597.1		globin		31819556	MARHY_RS00085	393	130	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	29181	30179	+						31819557	MARHY_RS00090	999		old_locus_tag=MARHY0018
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	29181	30179	+	WP_014420012.1	WP_014420012.1		HlyD family efflux transporter periplasmic adaptor subunit		31819557	MARHY_RS00090	999	332	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	30172	32901	+					rbbA	31819558	MARHY_RS00095	2730		old_locus_tag=MARHY0019
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	30172	32901	+	WP_014420013.1	WP_014420013.1		ribosome-associated ATPase/putative transporter RbbA	rbbA	31819558	MARHY_RS00095	2730	909	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	32903	34024	+						31819559	MARHY_RS00100	1122		old_locus_tag=MARHY0020
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	32903	34024	+	WP_014420014.1	WP_014420014.1		ABC transporter permease		31819559	MARHY_RS00100	1122	373	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	34067	34438	-						31819560	MARHY_RS00105	372		old_locus_tag=MARHY0021
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	34067	34438	-	WP_014420015.1	WP_014420015.1		VOC family protein		31819560	MARHY_RS00105	372	123	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	34568	35089	+						31819561	MARHY_RS00110	522		old_locus_tag=MARHY0022
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	34568	35089	+	WP_014420016.1	WP_014420016.1		lipocalin family protein		31819561	MARHY_RS00110	522	173	
gene	tRNA	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	35105	35181	-						31819562	MARHY_RS00115	77		old_locus_tag=MARHYtRNA50
tRNA		GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	35105	35181	-				tRNA-Pro		31819562	MARHY_RS00115	77		anticodon=CGG
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	35465	36850	+						31819563	MARHY_RS00120	1386		old_locus_tag=MARHY0023
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	35465	36850	+	WP_226374477.1	WP_226374477.1		TrkH family potassium uptake protein		31819563	MARHY_RS00120	1386	461	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	36908	38989	-					glyS	31819564	MARHY_RS00125	2082		old_locus_tag=MARHY0024
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	36908	38989	-	WP_014420018.1	WP_014420018.1		glycine--tRNA ligase subunit beta	glyS	31819564	MARHY_RS00125	2082	693	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	38992	39978	-					glyQ	31819565	MARHY_RS00130	987		old_locus_tag=MARHY0025
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	38992	39978	-	WP_228703067.1	WP_228703067.1		glycine--tRNA ligase subunit alpha	glyQ	31819565	MARHY_RS00130	987	328	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	40149	41552	-					trkA	31819566	MARHY_RS00135	1404		old_locus_tag=MARHY0026
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	40149	41552	-	WP_014420019.1	WP_014420019.1		Trk system potassium transporter TrkA	trkA	31819566	MARHY_RS00135	1404	467	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	41549	42850	-					rsmB	31819567	MARHY_RS00140	1302		old_locus_tag=MARHY0027
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	41549	42850	-	WP_014420020.1	WP_014420020.1		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	rsmB	31819567	MARHY_RS00140	1302	433	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	42853	43788	-					fmt	31819568	MARHY_RS00145	936		old_locus_tag=MARHY0028
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	42853	43788	-	WP_014420021.1	WP_014420021.1		methionyl-tRNA formyltransferase	fmt	31819568	MARHY_RS00145	936	311	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	43869	44375	-					def	31819569	MARHY_RS00150	507		old_locus_tag=MARHY0029
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	43869	44375	-	WP_197535995.1	WP_197535995.1		peptide deformylase	def	31819569	MARHY_RS00150	507	168	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	44840	45856	+						31819570	MARHY_RS00155	1017		old_locus_tag=MARHY0030
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	44840	45856	+	WP_014420023.1	WP_014420023.1		LysM peptidoglycan-binding domain-containing protein		31819570	MARHY_RS00155	1017	338	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	45890	47107	+					dprA	31819571	MARHY_RS00160	1218		old_locus_tag=MARHY0031
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	45890	47107	+	WP_014420024.1	WP_014420024.1		DNA-processing protein DprA	dprA	31819571	MARHY_RS00160	1218	405	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	47123	47695	+						31819572	MARHY_RS00165	573		old_locus_tag=MARHY0032
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	47123	47695	+	WP_014420025.1	WP_014420025.1		Sua5/YciO/YrdC/YwlC family protein		31819572	MARHY_RS00165	573	190	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	47704	48630	+					hemF	31819573	MARHY_RS00170	927		old_locus_tag=MARHY0033
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	47704	48630	+	WP_014420026.1	WP_014420026.1		oxygen-dependent coproporphyrinogen oxidase	hemF	31819573	MARHY_RS00170	927	308	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	48623	49450	+					aroE	31819574	MARHY_RS00175	828		old_locus_tag=MARHY0034
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	48623	49450	+	WP_041654402.1	WP_041654402.1		shikimate dehydrogenase	aroE	31819574	MARHY_RS00175	828	275	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	49489	50262	+						31819575	MARHY_RS00180	774		old_locus_tag=MARHY0035
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	49489	50262	+	WP_014420028.1	WP_014420028.1		MotA/TolQ/ExbB proton channel family protein		31819575	MARHY_RS00180	774	257	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	50266	51099	+						31819576	MARHY_RS00185	834		old_locus_tag=MARHY0036
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	50266	51099	+	WP_014420029.1	WP_014420029.1		OmpA family protein		31819576	MARHY_RS00185	834	277	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	51224	51541	+						31819577	MARHY_RS00190	318		old_locus_tag=MARHY0037
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	51224	51541	+	WP_014420030.1	WP_014420030.1		PA4642 family protein		31819577	MARHY_RS00190	318	105	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	51572	52111	-						31819578	MARHY_RS00195	540		old_locus_tag=MARHY0038
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	51572	52111	-	WP_014420031.1	WP_014420031.1		gamma carbonic anhydrase family protein		31819578	MARHY_RS00195	540	179	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	52313	54358	+					prlC	31819579	MARHY_RS00200	2046		old_locus_tag=MARHY0039
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	52313	54358	+	WP_014420032.1	WP_014420032.1		oligopeptidase A	prlC	31819579	MARHY_RS00200	2046	681	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	54415	54666	+						31819580	MARHY_RS00205	252		old_locus_tag=MARHY0040
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	54415	54666	+	WP_011783635.1	WP_011783635.1		YheV family putative metal-binding protein		31819580	MARHY_RS00205	252	83	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	54725	56047	-						31819581	MARHY_RS00210	1323		old_locus_tag=MARHY0041
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	54725	56047	-	WP_023008112.1	WP_023008112.1		Na+/H+ antiporter family protein		31819581	MARHY_RS00210	1323	440	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	56162	56392	-						31819582	MARHY_RS00215	231		old_locus_tag=MARHY0042
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	56162	56392	-	WP_011783637.1	WP_011783637.1		DUF1653 domain-containing protein		31819582	MARHY_RS00215	231	76	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	56553	58349	+						31819583	MARHY_RS00220	1797		old_locus_tag=MARHY0043
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	56553	58349	+	WP_226374368.1	WP_226374368.1		diguanylate cyclase		31819583	MARHY_RS00220	1797	598	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	58352	58738	-						31819584	MARHY_RS00225	387		old_locus_tag=MARHY0044
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	58352	58738	-	WP_014420036.1	WP_014420036.1		DoxX family protein		31819584	MARHY_RS00225	387	128	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	58819	59466	-						31819585	MARHY_RS00230	648		old_locus_tag=MARHY0045
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	58819	59466	-	WP_031211724.1	WP_031211724.1		hypothetical protein		31819585	MARHY_RS00230	648	215	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	59658	61004	-						31819586	MARHY_RS00235	1347		old_locus_tag=MARHY0046
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	59658	61004	-	WP_014420038.1	WP_014420038.1		MATE family efflux transporter		31819586	MARHY_RS00235	1347	448	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	61193	62317	+					coxB	31819587	MARHY_RS00240	1125		old_locus_tag=MARHY0048
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	61193	62317	+	WP_014420040.1	WP_014420040.1		cytochrome c oxidase subunit II	coxB	31819587	MARHY_RS00240	1125	374	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	62375	63958	+					ctaD	31819588	MARHY_RS00245	1584		old_locus_tag=MARHY0049
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	62375	63958	+	WP_014420041.1	WP_014420041.1		cytochrome c oxidase subunit I	ctaD	31819588	MARHY_RS00245	1584	527	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	63972	64568	+						31819589	MARHY_RS00250	597		old_locus_tag=MARHY0050
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	63972	64568	+	WP_041654405.1	WP_041654405.1		cytochrome c oxidase assembly protein		31819589	MARHY_RS00250	597	198	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	64585	65472	+						31819590	MARHY_RS00255	888		old_locus_tag=MARHY0051
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	64585	65472	+	WP_014420043.1	WP_014420043.1		cytochrome c oxidase subunit 3		31819590	MARHY_RS00255	888	295	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	65484	65687	-						31819591	MARHY_RS00260	204		old_locus_tag=MARHY0052
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	65484	65687	-	WP_011783646.1	WP_011783646.1		twin transmembrane helix small protein		31819591	MARHY_RS00260	204	67	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	65785	66534	+						31819592	MARHY_RS00265	750		old_locus_tag=MARHY0053
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	65785	66534	+	WP_011783647.1	WP_011783647.1		SURF1 family protein		31819592	MARHY_RS00265	750	249	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	66515	67156	+						31819593	MARHY_RS00270	642		old_locus_tag=MARHY0054
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	66515	67156	+	WP_011783648.1	WP_011783648.1		hypothetical protein		31819593	MARHY_RS00270	642	213	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	67172	68278	+						31819594	MARHY_RS00275	1107		old_locus_tag=MARHY0055
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	67172	68278	+	WP_014420046.1	WP_014420046.1		COX15/CtaA family protein		31819594	MARHY_RS00275	1107	368	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	68275	69195	+					cyoE	31819595	MARHY_RS00280	921		old_locus_tag=MARHY0056
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	68275	69195	+	WP_014420047.1	WP_014420047.1		heme o synthase	cyoE	31819595	MARHY_RS00280	921	306	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	69228	69884	+						31819596	MARHY_RS00285	657		old_locus_tag=MARHY0057
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	69228	69884	+	WP_011783651.1	WP_011783651.1		SCO family protein		31819596	MARHY_RS00285	657	218	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	69967	71169	+						31819597	MARHY_RS00290	1203		old_locus_tag=MARHY0058
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	69967	71169	+	WP_014420049.1	WP_014420049.1		YbfB/YjiJ family MFS transporter		31819597	MARHY_RS00290	1203	400	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	71213	73687	+					hrpB	31819598	MARHY_RS00295	2475		old_locus_tag=MARHY0059
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	71213	73687	+	WP_014420050.1	WP_014420050.1		ATP-dependent helicase HrpB	hrpB	31819598	MARHY_RS00295	2475	824	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	73641	74519	-						31819599	MARHY_RS00300	879		old_locus_tag=MARHY0060
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	73641	74519	-	WP_014420051.1	WP_014420051.1		initiation factor 2B		31819599	MARHY_RS00300	879	292	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	74574	74939	-						31819600	MARHY_RS00305	366		old_locus_tag=MARHY0061
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	74574	74939	-	WP_011783655.1	WP_011783655.1		hypothetical protein		31819600	MARHY_RS00305	366	121	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	75093	75911	+						31819601	MARHY_RS00310	819		old_locus_tag=MARHY0062
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	75093	75911	+	WP_041654406.1	WP_041654406.1		alpha-L-glutamate ligase		31819601	MARHY_RS00310	819	272	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	76082	77257	+						31819602	MARHY_RS00315	1176		old_locus_tag=MARHY0063
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	76082	77257	+	WP_014420053.1	WP_014420053.1		type III PLP-dependent enzyme		31819602	MARHY_RS00315	1176	391	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	77288	78490	-						31819603	MARHY_RS00320	1203		old_locus_tag=MARHY0064
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	77288	78490	-	WP_014420054.1	WP_014420054.1		MFS transporter		31819603	MARHY_RS00320	1203	400	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	78502	78897	-						31819604	MARHY_RS00325	396		old_locus_tag=MARHY0065
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	78502	78897	-	WP_022991806.1	WP_022991806.1		ectoine synthase		31819604	MARHY_RS00325	396	131	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	78948	80378	-						31819605	MARHY_RS00330	1431		old_locus_tag=MARHY0066
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	78948	80378	-	WP_014420056.1	WP_014420056.1		GTPase/DUF3482 domain-containing protein		31819605	MARHY_RS00330	1431	476	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	80375	81787	-						31819606	MARHY_RS00335	1413		old_locus_tag=MARHY0067
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	80375	81787	-	WP_041654408.1	WP_041654408.1		DUF2868 domain-containing protein		31819606	MARHY_RS00335	1413	470	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	81875	82237	+						31819607	MARHY_RS00340	363		old_locus_tag=MARHY0068
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	81875	82237	+	WP_014420058.1	WP_014420058.1		DUF6164 family protein		31819607	MARHY_RS00340	363	120	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	82491	84593	+						31819608	MARHY_RS00345	2103		old_locus_tag=MARHY0070
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	82491	84593	+	WP_041654410.1	WP_041654410.1		D-(-)-3-hydroxybutyrate oligomer hydrolase		31819608	MARHY_RS00345	2103	700	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	84730	86142	+						31819609	MARHY_RS00350	1413		old_locus_tag=MARHY0072
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	84730	86142	+	WP_041654411.1	WP_041654411.1		sigma-54-dependent Fis family transcriptional regulator		31819609	MARHY_RS00350	1413	470	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	86465	87550	+						31819610	MARHY_RS00355	1086		old_locus_tag=MARHY0073
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	86465	87550	+	WP_014420063.1	WP_014420063.1		TRAP transporter substrate-binding protein		31819610	MARHY_RS00355	1086	361	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	87629	88246	+						31819611	MARHY_RS00360	618		old_locus_tag=MARHY0074
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	87629	88246	+	WP_014420064.1	WP_014420064.1		TRAP transporter small permease subunit		31819611	MARHY_RS00360	618	205	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	88264	89634	+						31819612	MARHY_RS00365	1371		old_locus_tag=MARHY0075
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	88264	89634	+	WP_014420065.1	WP_014420065.1		TRAP transporter large permease subunit		31819612	MARHY_RS00365	1371	456	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	89691	90470	+						31819613	MARHY_RS00370	780		old_locus_tag=MARHY0076
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	89691	90470	+	WP_041654412.1	WP_041654412.1		3-hydroxybutyrate dehydrogenase		31819613	MARHY_RS00370	780	259	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	90487	92475	+						31819614	MARHY_RS00375	1989		old_locus_tag=MARHY0077
CDS	with_protein	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	90487	92475	+	WP_014420067.1	WP_014420067.1		acetoacetate--CoA ligase		31819614	MARHY_RS00375	1989	662	
gene	protein_coding	GCF_000284615.1	Primary Assembly	chromosome		NC_017067.1	92941	95184	+						31819615	MARHY_RS00380	2244		old_locus_tag=MARHY0078
